Page,Pageviews,Unique Pageviews,Avg. Time on Page,Entrances,Bounce Rate,% Exit,Page Value
utah-primoprod.hosted.exlibrisgroup.com/primo_library/libweb/action/dlDisplay.do?vid=MWDL&docId=digcoll_wsu_18WEBDA_OH/13,13,12,00:05:30,11,72.73%,76.92%,$0.00
utah-primoprod.hosted.exlibrisgroup.com/primo_library/libweb/action/search.do?pageNumberComingFrom=58&vl(35820410UI1)=lsr13&indx=571&scp.scps=scope:(mw)&vid=MWDL&vl(freeText1)=Clifford Bray Photographs&dstmp=1521518410878,13,2,00:00:57,1,0.00%,7.69%,$0.00
utah-primoprod.hosted.exlibrisgroup.com/primo_library/libweb/action/search.do?scp.scps=scope:(mw)&vid=MWDL&indx=1&vl(35820410UI1)=lsr12&vl(freeText1)=Utah+State+Historical+Society,13,9,00:00:29,5,0.00%,7.69%,$0.00
utah-primoprod.hosted.exlibrisgroup.com/primo_library/libweb/action/search.do?scp.scps=scope:(mw)&vid=MWDL&indx=1&vl(35820410UI1)=lsr13&vl(freeText1)=Aztec+Codices,13,6,00:00:22,3,0.00%,7.69%,$0.00
utah-primoprod.hosted.exlibrisgroup.com/primo_library/libweb/action/search.do?vl(freeText0)=+Armour +and+Company&vl(40375852UI0)=sub&vl(334075669UI1)=all_items&vl(1UI0)=exact&vid=MWDL&scp.scps=scope:(mw),13,2,00:00:32,1,0.00%,7.69%,$0.00
mwdl.org/collections/1168.php,12,10,00:02:06,7,100.00%,66.67%,$0.00
mwdl.org/collections/1279.php,12,11,00:00:46,9,88.89%,91.67%,$0.00
mwdl.org/collections/2155.php,12,9,00:00:22,8,75.00%,66.67%,$0.00
mwdl.org/getinvolved/oai_queries.php,12,12,00:16:17,6,83.33%,83.33%,$0.00
mwdl.org/partners/105.php,12,9,00:03:23,7,71.43%,66.67%,$0.00
utah-primoprod.hosted.exlibrisgroup.com/primo_library/libweb/action/search.do?pageNumberComingFrom=1&vl(12791079UI0)=any&indx=1&vl(1UI0)=contains&vid=MWDL&vl(boolOperator1)=AND&vl(42535446UI3)=all_items&vl(freeText1)=Utah State Historical Society Classified Photograph Collection&dstmp=1522355336562&vl(35820410UI1)=lsr13&vl(35821425UI2)=all_items&vl(boolOperator0)=AND&vl(freeText0)=BREWERIES,12,1,00:00:34,0,0.00%,0.00%,$0.00
mwdl.org/collections/1002.php,11,6,00:01:00,3,33.33%,27.27%,$0.00
mwdl.org/collections/1123.php,11,7,00:05:08,7,71.43%,63.64%,$0.00
mwdl.org/collections/1249.php,11,7,00:00:53,6,50.00%,45.45%,$0.00
mwdl.org/collections/1941.php,11,10,00:00:43,0,0.00%,36.36%,$0.00
utah-primoprod.hosted.exlibrisgroup.com/primo_library/libweb/action/dlDisplay.do?vid=MWDL&docId=digcoll_byu_12OTImages/73,11,6,00:00:35,6,33.33%,18.18%,$0.00
utah-primoprod.hosted.exlibrisgroup.com/primo_library/libweb/action/dlDisplay.do?vid=MWDL&docId=digcoll_uuu_11USHS_Olyleg/61,11,11,00:00:00,11,100.00%,100.00%,$0.00
"utah-primoprod.hosted.exlibrisgroup.com/primo_library/libweb/action/search.do?fctN=facet_topic&fctV=Trains,+Railroad&rfnGrp=1&rfnGrpCounter=1&vl(12791079UI0)=any&indx=1&vl(1UI0)=contains&vid=MWDL&vl(boolOperator1)=AND&vl(42535446UI3)=all_items&vl(freeText1)=transcontinental migration&dstmp=1521730888422&vl(35820410UI1)=lsr15&vl(35821425UI2)=all_items&vl(boolOperator0)=AND&vl(freeText0)=train",11,1,00:00:25,0,0.00%,0.00%,$0.00
utah-primoprod.hosted.exlibrisgroup.com/primo_library/libweb/action/search.do?indx=1&pageNumberComingFrom=2&vl(334075669UI1)=images&indx=11&vl(1UI0)=contains&scp.scps=scope:(mw)&vid=MWDL&vl(freeText0)=wendover air force base&dstmp=1522350793233,11,1,00:00:11,0,0.00%,0.00%,$0.00
