age,Pageviews,Unique Pageviews,Avg. Time on Page,Entrances,Bounce Rate,% Exit,Page Value
mwdl.org/amppartners/SouthernUtahUniversitySherrattLibrary.php,3,1,00:00:24,0,0.00%,0.00%,$0.00
mwdl.org/collections/2096.php,3,2,00:00:31,2,50.00%,66.67%,$0.00
mwdl.org/collections/2155.php,3,3,00:00:00,3,100.00%,100.00%,$0.00
mwdl.org/collections/AllenLeighPhotographs.php,3,2,00:00:04,1,0.00%,33.33%,$0.00
mwdl.org/collections/AmericanForkCityUTRoyalty.php,3,2,00:00:09,0,0.00%,0.00%,$0.00
mwdl.org/collections/CacheDaughtersofUtahPioneersMuseumCollection.php,3,3,00:00:00,1,0.00%,66.67%,$0.00
mwdl.org/collections/CharlesRSavagePhotographs1.php,3,2,00:00:05,0,0.00%,33.33%,$0.00
mwdl.org/collections/EcclesDavidBusinessChurchandPersonalCorrespondence.php,3,3,00:00:22,0,0.00%,66.67%,$0.00
mwdl.org/collections/FrankLloydWrightWasmuthPortfolio.php,3,3,00:00:13,1,100.00%,33.33%,$0.00
mwdl.org/collections/HarmoniaMacrocosmica.php,3,3,00:00:11,0,0.00%,66.67%,$0.00
mwdl.org/collections/IronCountyUTExtensionOfficePhotographs.php,3,2,00:00:14,2,50.00%,66.67%,$0.00
mwdl.org/collections/MS25CoburnCollection.php,3,2,00:00:06,0,0.00%,0.00%,$0.00
mwdl.org/collections/MS32EdwardBeckerCollectionofIndianPhotographs.php,3,3,00:03:47,0,0.00%,0.00%,$0.00
mwdl.org/collections/MusicTempleVisitorsRegister.php,3,2,00:00:11,0,0.00%,0.00%,$0.00
mwdl.org/collections/SaltLakeCityPublicLibrarySpecialCollections.php,3,3,00:00:10,0,0.00%,0.00%,$0.00
mwdl.org/collections/ShowgirlsCollection.php,3,2,00:00:17,0,0.00%,33.33%,$0.00
mwdl.org/collections/Utah2002OlympicLegacyCollection.php,3,2,00:00:24,0,0.00%,0.00%,$0.00
mwdl.org/collections/UtahPeaceActivistsOralHistory.php,3,2,00:00:08,0,0.00%,0.00%,$0.00
mwdl.org/collections/WesternWatersDocuments.php,3,3,00:00:05,0,0.00%,0.00%,$0.00
mwdl.org/collections/WesternWatersPhotographCollection.php,3,2,00:00:01,0,0.00%,33.33%,$0.00
mwdl.org/events/360imageCapture.php,3,1,00:01:57,1,0.00%,33.33%,$0.00
mwdl.org/getinvolved/becomeMember.php,3,3,00:00:12,0,0.00%,33.33%,$0.00
mwdl.org/partners/105.php,3,1,00:00:19,0,0.00%,0.00%,$0.00
mwdl.org/partners/119.php,3,3,00:00:03,1,100.00%,66.67%,$0.00
mwdl.org/partners/GreatBasinAssociation.php,3,2,00:07:46,0,0.00%,33.33%,$0.00
mwdl.org/partners/ProvoUTCity.php,3,3,00:02:00,2,0.00%,33.33%,$0.00
mwdl.org/partners/UtahMuseumofContemporaryArt.php,3,2,00:00:18,2,0.00%,0.00%,$0.00
mwdl.org/partners/WeberStateUniversityStewartLibrary.php,3,3,00:01:32,0,0.00%,0.00%,$0.00
test.mwdl.org/partners/OremUTPublicLibrary.php,3,3,00:00:15,1,0.00%,33.33%,$0.00
www.mwdl.org/collections/GreatBasinMuseumCollection.php,3,2,00:00:06,1,0.00%,33.33%,$0.00
www.mwdl.org/collections/GreatBasinNationalHeritageAreaOralHistories.php,3,2,00:00:08,1,0.00%,0.00%,$0.00
www.mwdl.org/collections/HiramBClawsonPapers.php,3,2,00:01:24,1,0.00%,33.33%,$0.00
www.mwdl.org/collections/MormonPacificHistoricalSociety.php,3,3,00:00:00,3,100.00%,100.00%,$0.00
www.mwdl.org/collections/MS021YellowstoneNationalPark.php,3,3,00:00:03,0,0.00%,0.00%,$0.00
www.mwdl.org/collections/MS228BuffaloBillMuseumPhotographs.php,3,3,00:00:06,0,0.00%,0.00%,$0.00
www.mwdl.org/collections/pCollections.php,3,2,00:01:00,0,0.00%,0.00%,$0.00
www.mwdl.org/collections/WestminsterCollegeInstitutionalRepository.php,3,3,00:01:29,2,0.00%,33.33%,$0.00
www.mwdl.org/index.php,3,3,00:00:47,3,33.33%,66.67%,$0.00
www.mwdl.org/partners/GreatBasinMuseum.php,3,2,00:00:04,1,100.00%,33.33%,$0.00
www.mwdl.org/partners/GreatBasinNationalHeritagePartnership.php,3,1,00:00:04,0,0.00%,33.33%,$0.00
www.mwdl.org/partners/UniversityofNevadaLasVegasUniversityLibraries.php,3,3,00:09:36,2,100.00%,66.67%,$0.00
www.mwdl.org/partners/WeberStateUniversityStewartLibrary.php,3,3,00:00:45,1,0.00%,33.33%,$0.00
mwdl.org/aboutCollections.php/byInstitution/39,2,1,00:09:20,1,0.00%,50.00%,$0.00
mwdl.org/ampcollections/CacheDaughtersofUtahPioneersMuseumCollection.php,2,2,00:00:00,1,100.00%,100.00%,$0.00
mwdl.org/ampcollections/FifeSlideCollectionofWesternUSVernacularArchitecture.php,2,1,00:01:10,0,0.00%,0.00%,$0.00
mwdl.org/ampcollections/FrankLloydWrightWasmuthPortfolio.php,2,1,00:00:26,0,0.00%,0.00%,$0.00
mwdl.org/ampcollections/GreatBasinMuseumCollection.php,2,1,00:00:17,0,0.00%,0.00%,$0.00
mwdl.org/ampcollections/GreenRiverLaunchComplexUSAirForce.php,2,1,00:00:09,0,0.00%,0.00%,$0.00
mwdl.org/ampcollections/JournalofDiscourses.php,2,1,00:00:53,0,0.00%,0.00%,$0.00
mwdl.org/ampcollections/LandUseTransportationScenarioPlanning.php,2,1,00:00:52,0,0.00%,0.00%,$0.00
mwdl.org/ampcollections/MiltJolleyPhotographs.php,2,1,00:00:07,0,0.00%,50.00%,$0.00
mwdl.org/ampcollections/MusicTempleVisitorsRegister.php,2,1,00:00:27,0,0.00%,0.00%,$0.00
mwdl.org/ampcollections/NeuroOphthalmologyWilliamFHoytCollection.php,2,1,00:01:22,0,0.00%,0.00%,$0.00
mwdl.org/ampcollections/ShowgirlsCollection.php,2,1,00:02:22,0,0.00%,0.00%,$0.00
mwdl.org/ampcollections/UtonianYearbooks.php,2,1,00:00:24,0,0.00%,0.00%,$0.00
mwdl.org/ampcollections/WesternWatersPhotographCollection.php,2,2,00:01:44,0,0.00%,0.00%,$0.00
mwdl.org/ampcollections/WestminsterCollegePhotographCollection.php,2,1,00:00:09,0,0.00%,0.00%,$0.00
mwdl.org/amppartners/BuffaloBillCenteroftheWestMcCrackenResearchLibrary.php,2,2,00:01:34,0,0.00%,0.00%,$0.00
mwdl.org/amppartners/TopazMuseumDeltaUT.php,2,1,00:00:13,0,0.00%,0.00%,$0.00
mwdl.org/amppartners/UintahCountyUTLibrary.php,2,1,00:00:02,0,0.00%,0.00%,$0.00
mwdl.org/amppartners/UniversityofUtahSpencerSEcclesHealthSciencesLibrary.php,2,1,00:00:03,0,0.00%,0.00%,$0.00
mwdl.org/amppartners/WestminsterCollegeGiovaleLibrary.php,2,1,00:00:03,0,0.00%,0.00%,$0.00
mwdl.org/collections/1123.php,2,1,00:00:15,1,0.00%,50.00%,$0.00
mwdl.org/collections/1792.php,2,1,00:00:11,0,0.00%,0.00%,$0.00
mwdl.org/collections/1826.php,2,1,00:00:14,0,0.00%,0.00%,$0.00
mwdl.org/collections/2299.php,2,1,00:00:23,0,0.00%,0.00%,$0.00
mwdl.org/collections/AgriculturalCollegeofUtahCyanotypeCollection.php,2,2,00:00:11,0,0.00%,0.00%,$0.00
mwdl.org/collections/BearLakeMonster.php,2,1,00:00:16,0,0.00%,0.00%,$0.00
mwdl.org/collections/BrighamYoungUniversityHistoricalPhotographsWalterMCampCollection.php,2,2,00:00:32,1,0.00%,50.00%,$0.00
mwdl.org/collections/BrighamYoungUniversitySpecialCollectionsMiscellaneous.php,2,1,00:00:06,0,0.00%,0.00%,$0.00
mwdl.org/collections/CharlesFordPhotographs.php,2,1,00:00:09,0,0.00%,0.00%,$0.00
mwdl.org/collections/CharlesRSavagePhotographs2.php,2,1,00:00:50,0,0.00%,0.00%,$0.00
mwdl.org/collections/CivilianConservationCorpsinUtah.php,2,1,00:00:10,0,0.00%,0.00%,$0.00
mwdl.org/collections/DeeSchoolofNursingOralHistoryProjectandYearbooks.php,2,1,00:00:15,0,0.00%,0.00%,$0.00
mwdl.org/collections/DidymusPapyri.php,2,2,00:00:09,0,0.00%,50.00%,$0.00
mwdl.org/collections/DorisUlmannPhotographs.php,2,2,00:00:08,0,0.00%,0.00%,$0.00
mwdl.org/collections/EverettLCooleyOralHistoryProject.php,2,2,00:00:00,2,100.00%,100.00%,$0.00
mwdl.org/collections/FrankandBethineChurchCollection.php,2,2,00:01:03,0,0.00%,0.00%,$0.00
mwdl.org/collections/GracieBPfost.php,2,1,00:00:08,0,0.00%,0.00%,$0.00
mwdl.org/collections/HarrisvilleCityVirtualHistoryMuseum.php,2,1,00:00:51,0,0.00%,0.00%,$0.00
mwdl.org/collections/HistoricBoiseStateCollection.php,2,2,00:00:02,0,0.00%,50.00%,$0.00
mwdl.org/collections/HistoryofShelleyID.php,2,2,00:00:24,0,0.00%,0.00%,$0.00
mwdl.org/collections/LessonsTheJournaloftheCenterforTeachingandLearningExcellence.php,2,2,00:00:01,0,0.00%,0.00%,$0.00
mwdl.org/collections/MonumentalHighwayCollection.php,2,1,00:00:20,0,0.00%,0.00%,$0.00
mwdl.org/collections/NevadainMaps.php,2,2,00:01:22,0,0.00%,0.00%,$0.00
mwdl.org/collections/NevadaTestSiteOralHistoryProject.php,2,1,00:01:39,0,0.00%,0.00%,$0.00
mwdl.org/collections/NoOnOneCoalition.php,2,1,00:00:09,1,0.00%,50.00%,$0.00
mwdl.org/collections/OgdenChurchesandSchools.php,2,1,00:00:06,0,0.00%,0.00%,$0.00
mwdl.org/collections/OremUTSchoolYearbooks.php,2,2,00:00:25,1,100.00%,50.00%,$0.00
mwdl.org/collections/RegreeningofCacheValley.php,2,2,00:01:48,1,0.00%,50.00%,$0.00
mwdl.org/collections/SagebrushVernacularRuralArchitectureinNevada.php,2,1,00:00:58,0,0.00%,0.00%,$0.00
mwdl.org/collections/SanbornFireInsuranceMaps.php,2,2,00:02:37,0,0.00%,0.00%,$0.00
mwdl.org/collections/StacksIdahosDigitalRepositoryIdahoDepartmentofAdministration.php,2,1,00:06:40,0,0.00%,0.00%,$0.00
mwdl.org/collections/TellingOurStoryAnOralHistoryofUtahValleyUniversity.php,2,2,00:00:01,1,0.00%,50.00%,$0.00
mwdl.org/collections/UniversityofUtahRareBooksCollection.php,2,2,00:00:19,0,0.00%,0.00%,$0.00
mwdl.org/collections/UtahGovernorsOlympicCollection.php,2,1,00:00:23,0,0.00%,0.00%,$0.00
mwdl.org/collections/UtahPressAssociationUPAACenturyLater.php,2,2,00:00:32,0,0.00%,0.00%,$0.00
mwdl.org/collections/UtahSkiArchivesNewsletter.php,2,2,00:00:46,0,0.00%,0.00%,$0.00
mwdl.org/collections/UtahTerritorialStatehouseStateParkMuseum.php,2,2,00:00:00,0,0.00%,100.00%,$0.00
mwdl.org/collections/UtonianYearbooks.php,2,1,00:00:48,0,0.00%,0.00%,$0.00
mwdl.org/collections/WelcomeHomeHowardHowardHughesPhotographCollection.php,2,2,00:01:04,0,0.00%,0.00%,$0.00
mwdl.org/collections/WesternWatersBookCollection.php,2,1,00:00:11,0,0.00%,0.00%,$0.00
mwdl.org/collections/WesternWatersDiaryCollection.php,2,1,00:00:16,0,0.00%,0.00%,$0.00
mwdl.org/collections/WesternWatersElectronicResources.php,2,1,00:00:10,0,0.00%,0.00%,$0.00
mwdl.org/collections/WheelerHistoricFarmPhotographs.php,2,2,00:00:23,0,0.00%,0.00%,$0.00
mwdl.org/collections/WilliamEdwardHookGlassNegativeCollection.php,2,2,00:12:12,0,0.00%,0.00%,$0.00
mwdl.org/getinvolved/memberprogram.php,2,2,00:00:04,0,0.00%,50.00%,$0.00
mwdl.org/maps/map_counties.php,2,2,00:01:19,0,0.00%,50.00%,$0.00
mwdl.org/OldSite/aboutCollections.php,2,1,00:00:15,0,0.00%,0.00%,$0.00
mwdl.org/OldSite/index.php,2,1,00:00:14,0,0.00%,0.00%,$0.00
mwdl.org/partners/GreatBasinMuseum.php,2,1,00:00:30,0,0.00%,0.00%,$0.00
mwdl.org/partners/IdahoCommissionforLibraries.php,2,1,00:00:03,0,0.00%,0.00%,$0.00
mwdl.org/partners/SnowCollegeLibraries.php,2,2,00:03:05,0,0.00%,0.00%,$0.00
mwdl.org/partners/SouthernUtahUniversitySherrattLibrary.php,2,2,00:00:05,0,0.00%,0.00%,$0.00
mwdl.org/partners/UtahStateUniversityMerrillCazierLibrary.php,2,2,00:13:15,0,0.00%,0.00%,$0.00
test.mwdl.org/collections/RootsofKnowledgeBehindtheScenes.php,2,2,00:00:13,0,0.00%,0.00%,$0.00
test.mwdl.org/partners/partners.php,2,2,00:00:08,1,0.00%,0.00%,$0.00
test.mwdl.org/partners/WeberStateUniversityStewartLibrary.php,2,1,00:00:11,0,0.00%,0.00%,$0.00
test.mwdl.org/portals/ead.php,2,1,00:00:05,0,0.00%,0.00%,$0.00
www.mwdl.org/ampcollections/LettersofPhilipIIKingofSpain.php,2,1,00:06:02,1,0.00%,50.00%,$0.00
www.mwdl.org/ampcollections/OgdenUtahCityRecorderMayorsPhotographs.php,2,1,00:01:29,1,0.00%,50.00%,$0.00
www.mwdl.org/ampcollections/UtahBoardofPardonsPrisonerPardonApplicationCaseFiles.php,2,1,00:01:31,1,0.00%,50.00%,$0.00
www.mwdl.org/ampcollections/UtahGovernorWilliamSpry19091917JosephHillstromCorrespondence.php,2,2,00:00:00,2,100.00%,100.00%,$0.00
www.mwdl.org/amppartners/DepartmentofHeritageandArts.php,2,1,00:00:11,0,0.00%,0.00%,$0.00
